conky-git 1.12.2.r4.g8f5014b9-1
google-chrome 94.0.4606.54-1
i3-gaps-next-git 4.19.1.r172.g3dcd4cef-1
i3lock-color-git r891.995f58d-1
nordic-theme-git 2.0.0.r13.gab735ba-1
notion-app-enhanced 2.0.16-6
numix-circle-icon-theme-git 21.09.19.r0.ge55eb76-1
numix-icon-theme-git 21.04.14.r7.gd80083644-1
pfetch 0.6.0-3
picom-git 1624_Next.62.gde959f9_2021.09.21-1
polybar-git 3.5.7.r184.g98d9a882-1
qt5-styleplugins 5.0.0.20170311-26
rofi-git 1.7.0.r35.g0e70d8a5-1
slack-desktop 4.19.2-1
spotify 1:1.1.68.632-1
teams 1.4.00.13653-1
ttf-font-awesome-4 4.7.0-5
yay 10.3.1-2
